fixture_id,fecha_partido,partido,ganador,cuota_local,cuota_empate,cuota_visitante,stake,stake_num,resultado_real
,,Platense vs San Lorenzo,Gana local,2.2,3.2,2.8,🔥 ALTO (4-6%),5,Gana visitante
,,Racing Club vs Barracas Central,Gana visitante,2.2,3.2,2.8,🔥 ALTO (4-6%),5,Empate
,,Lugazi vs Kitara,Gana visitante,2.2,3.2,2.8,🔥 ALTO (4-6%),5,
,,Chelsea U21 vs Middlesbrough U21,Gana visitante,2.2,3.2,2.8,🔥 ALTO (4-6%),5,
,,Amazulu vs Chippa United,Gana visitante,2.2,3.2,2.8,🔥 ALTO (4-6%),5,
,,Bulawayo Chiefs vs Chicken Inn,Gana visitante,2.2,3.2,2.8,🔥 ALTO (4-6%),5,
,,Ngezi Platinum vs Agama,Gana local,2.2,3.2,2.8,🔥 ALTO (4-6%),5,
,,TelOne vs Herentals,Empate,2.2,3.2,2.8,🔥 ALTO (4-6%),5,
,,AC Milan W vs Napoli W,Gana visitante,2.2,3.2,2.8,🔥 ALTO (4-6%),5,
,,Airdrie United vs Ayr Utd,Gana local,2.2,3.2,2.8,🔥 ALTO (4-6%),5,
,,Armagh City vs Institute,Gana local,2.2,3.2,2.8,🔥 ALTO (4-6%),5,
,,Birmingham vs Bristol City,Gana local,2.2,3.2,2.8,🔥 ALTO (4-6%),5,
,,Norwich vs Swansea,Gana local,2.2,3.2,2.8,🔥 ALTO (4-6%),5,
,,Naftan vs FC Vitebsk,Gana local,2.2,3.2,2.8,🔥 ALTO (4-6%),5,
,,Lyon vs Auxerre,Gana local,2.2,3.2,2.8,🔥 ALTO (4-6%),5,
,,Calvary vs KCCA,Gana local,2.2,3.2,2.8,🟢 MEDIO (2-4%),3,
