fixture_id,fecha_partido,hora_partido,estado_partido,liga,pais_liga,grupo_liga,prioridad_liga,local,visitante,logo_local,logo_visitante,marcador_local,marcador_visitante,minuto_partido,goles_local,goles_visitante,forma_local,forma_visitante,racha_local,racha_visitante,ppm_local,ppm_visitante,record_local,record_visitante,goleador_local,goles_goleador_local,goleador_visitante,goles_goleador_visitante,localia,cuota_local,cuota_empate,cuota_visitante,fuente_cuotas,market_match_score,bookmaker_count,resultado_real,fuente_partidos,alineacion_confirmada,formacion_local,formacion_visitante,bajas_local,bajas_visitante,alerta_rotacion_local,alerta_rotacion_visitante
740938,2026-05-03,2026-05-03 08:00,HT,Premier League,England,Premier League,95,AFC Bournemouth,Crystal Palace,https://a.espncdn.com/i/teamlogos/soccer/500/349.png,https://a.espncdn.com/i/teamlogos/soccer/500/384.png,1,0,15',1.43,0.93,9,7,DWWDD,WLDLW,1.44,1.3,11-16-7,11-10-12,,0,,0,1,1.22,6.0,13.0,espn_odds,0.78,1,,espn_scoreboard,False,,,0,0,False,False
740943,2026-05-03,2026-05-03 09:30,NS,Premier League,England,Premier League,95,Manchester United,Liverpool,https://a.espncdn.com/i/teamlogos/soccer/500/360.png,https://a.espncdn.com/i/teamlogos/soccer/500/364.png,0,0,,1.38,0.97,10,9,WWLDW,WWLWL,1.79,1.71,17-10-7,17-7-10,Benjamin Sesko,10,Hugo Ekitike,11,1,2.2,3.2,2.8,fallback,0.25,0,,espn_scoreboard,False,,,0,0,False,False
740937,2026-05-03,2026-05-03 13:00,NS,Premier League,England,Premier League,95,Aston Villa,Tottenham Hotspur,https://a.espncdn.com/i/teamlogos/soccer/500/362.png,https://a.espncdn.com/i/teamlogos/soccer/500/367.png,0,0,,1.46,0.9,7,7,LLWWD,WDLLW,1.71,1.0,17-7-10,8-10-16,Ollie Watkins,11,Richarlison,9,1,2.2,3.2,2.8,fallback,0.25,0,,espn_scoreboard,False,,,0,0,False,False
740940,2026-05-04,2026-05-04 09:00,NS,Premier League,England,Premier League,95,Chelsea,Nottingham Forest,https://a.espncdn.com/i/teamlogos/soccer/500/363.png,https://a.espncdn.com/i/teamlogos/soccer/500/393.png,0,0,,1.12,1.21,6,13,WLLLW,WWWWD,1.41,1.15,13-9-12,10-9-15,João Pedro,14,Morgan Gibbs-White,13,1,2.2,3.2,2.8,fallback,0.25,0,,espn_scoreboard,False,,,0,0,False,False
740941,2026-05-04,2026-05-04 14:00,NS,Premier League,England,Premier League,95,Everton,Manchester City,https://a.espncdn.com/i/teamlogos/soccer/500/368.png,https://a.espncdn.com/i/teamlogos/soccer/500/382.png,0,0,,0.79,1.51,4,15,LLDWL,WWWWW,1.38,2.12,13-8-13,21-7-5,Beto,8,Erling Haaland,24,1,2.2,3.2,2.8,fallback,0.25,0,,espn_scoreboard,False,,,0,0,False,False
748483,2026-05-03,2026-05-03 07:00,HT,La Liga,Spain,La Liga,93,Celta Vigo,Elche,https://a.espncdn.com/i/teamlogos/soccer/500/85.png,https://a.espncdn.com/i/teamlogos/soccer/500/3751.png,2,0,54',0.92,1.39,0,12,LLLLL,WWWLW,1.33,1.15,11-11-11,9-11-13,,0,,0,1,1.06,11.0,51.0,espn_odds,0.78,1,,espn_scoreboard,False,,,0,0,False,False
748474,2026-05-03,2026-05-03 09:15,NS,La Liga,Spain,La Liga,93,Getafe,Rayo Vallecano,https://a.espncdn.com/i/teamlogos/soccer/500/2922.png,https://a.espncdn.com/i/teamlogos/soccer/500/101.png,0,0,,1.43,0.93,9,7,LWLWW,WDWLL,1.33,1.18,13-5-15,9-12-12,Mauro Arambarri,6,Jorge de Frutos,10,1,2.2,3.2,2.8,fallback,0.25,0,,espn_scoreboard,False,,,0,0,False,False
748479,2026-05-03,2026-05-03 11:30,NS,La Liga,Spain,La Liga,93,Real Betis,Real Oviedo,https://a.espncdn.com/i/teamlogos/soccer/500/244.png,https://a.espncdn.com/i/teamlogos/soccer/500/92.png,0,0,,1.42,0.94,6,7,DWLDD,LDWWL,1.52,0.85,12-14-7,6-10-17,Cucho Hernández,8,Federico Viñas,9,1,2.2,3.2,2.8,fallback,0.25,0,,espn_scoreboard,False,,,0,0,False,False
748475,2026-05-03,2026-05-03 14:00,NS,La Liga,Spain,La Liga,93,Espanyol,Real Madrid,https://a.espncdn.com/i/teamlogos/soccer/500/88.png,https://a.espncdn.com/i/teamlogos/soccer/500/86.png,0,0,,1.03,1.3,2,5,DLLDL,DWLDL,1.18,2.24,10-9-14,23-5-5,Roberto Fernández,6,Kylian Mbappé,24,1,2.2,3.2,2.8,fallback,0.25,0,,espn_scoreboard,False,,,0,0,False,False
748478,2026-05-04,2026-05-04 14:00,NS,La Liga,Spain,La Liga,93,Sevilla,Real Sociedad,https://a.espncdn.com/i/teamlogos/soccer/500/243.png,https://a.espncdn.com/i/teamlogos/soccer/500/89.png,0,0,,1.1,1.23,3,8,LLWLL,DLWDW,1.03,1.3,9-7-17,11-10-12,Akor Adams,8,Mikel Oyarzabal,14,1,2.2,3.2,2.8,fallback,0.25,0,,espn_scoreboard,False,,,0,0,False,False
737124,2026-05-03,2026-05-03 08:00,HT,Serie A,Italy,Serie A,91,Sassuolo,AC Milan,https://a.espncdn.com/i/teamlogos/soccer/500/3997.png,https://a.espncdn.com/i/teamlogos/soccer/500/103.png,1,0,14',1.25,1.09,8,7,DWLWD,DWLLW,1.35,1.97,13-7-14,19-10-5,,0,,0,1,2.2,3.2,2.8,fallback,0.25,0,,espn_scoreboard,False,,,0,0,False,False
737127,2026-05-03,2026-05-03 11:00,NS,Serie A,Italy,Serie A,91,Juventus,Hellas Verona,https://a.espncdn.com/i/teamlogos/soccer/500/111.png,https://a.espncdn.com/i/teamlogos/soccer/500/119.png,0,0,,1.94,0.47,11,1,DWWWD,DLLLL,1.88,0.56,18-10-6,3-10-21,Kenan Yildiz,10,Gift Orban,7,1,2.2,3.2,2.8,fallback,0.25,0,,espn_scoreboard,False,,,0,0,False,False
737133,2026-05-03,2026-05-03 13:45,NS,Serie A,Italy,Serie A,91,Internazionale,Parma,https://a.espncdn.com/i/teamlogos/soccer/500/110.png,https://a.espncdn.com/i/teamlogos/soccer/500/115.png,0,0,,1.71,0.67,13,8,DWWWW,WWDDL,2.32,1.24,25-4-5,10-12-12,Lautaro Martínez,16,Mateo Pellegrino,8,1,2.2,3.2,2.8,fallback,0.25,0,,espn_scoreboard,False,,,0,0,False,False
737129,2026-05-04,2026-05-04 11:30,NS,Serie A,Italy,Serie A,91,Cremonese,Lazio,https://a.espncdn.com/i/teamlogos/soccer/500/4050.png,https://a.espncdn.com/i/teamlogos/soccer/500/112.png,0,0,,1.08,1.25,4,8,LDLLW,DWWLD,0.82,1.41,6-10-18,12-12-10,Federico Bonazzoli,7,Matteo Cancellieri,4,1,2.2,3.2,2.8,fallback,0.25,0,,espn_scoreboard,False,,,0,0,False,False
737125,2026-05-04,2026-05-04 13:45,NS,Serie A,Italy,Serie A,91,AS Roma,Fiorentina,https://a.espncdn.com/i/teamlogos/soccer/500/104.png,https://a.espncdn.com/i/teamlogos/soccer/500/109.png,0,0,,1.53,0.84,10,8,WDWLW,DDWWL,1.79,1.09,19-4-11,8-13-13,Donyell Malen,11,Moise Kean,8,1,2.2,3.2,2.8,fallback,0.25,0,,espn_scoreboard,False,,,0,0,False,False
747002,2026-05-03,2026-05-03 08:30,NS,Bundesliga,Germany,Bundesliga,89,St. Pauli,Mainz,https://a.espncdn.com/i/teamlogos/soccer/500/270.png,https://a.espncdn.com/i/teamlogos/soccer/500/2950.png,0,0,,1.21,1.13,2,4,LDLDL,LDLLW,0.84,1.1,6-8-17,8-10-13,Danel Sinani,5,Nadiem Amiri,11,1,2.2,3.2,2.8,fallback,0.25,0,,espn_scoreboard,False,,,0,0,False,False
746999,2026-05-03,2026-05-03 10:30,NS,Bundesliga,Germany,Bundesliga,89,Borussia Mönchengladbach,Borussia Dortmund,https://a.espncdn.com/i/teamlogos/soccer/500/268.png,https://a.espncdn.com/i/teamlogos/soccer/500/124.png,0,0,,0.94,1.37,4,9,DDLDD,WLLWW,1.03,2.16,7-11-13,20-7-4,Haris Tabakovic,11,Serhou Guirassy,15,1,2.2,3.2,2.8,fallback,0.25,0,,espn_scoreboard,False,,,0,0,False,False
747003,2026-05-03,2026-05-03 12:30,NS,Bundesliga,Germany,Bundesliga,89,SC Freiburg,VfL Wolfsburg,https://a.espncdn.com/i/teamlogos/soccer/500/126.png,https://a.espncdn.com/i/teamlogos/soccer/500/138.png,0,0,,1.51,0.86,6,4,LLLWW,DWLLL,1.39,0.81,12-7-12,6-7-18,Igor Matanovic,8,Mohamed Amoura,8,1,2.2,3.2,2.8,fallback,0.25,0,,espn_scoreboard,False,,,0,0,False,False
